id,product_name,category,manufacturer,net_quantity,mrp,mfg_date,consumer_care,country_of_origin,compliance_status,violations,scanned_timestamp,ocr_confidence
LMC-01273,Premium Assam CTC Tea 500 g,Tea & Coffee,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",500 g,Rs. 98.00 (Incl. of all taxes),07/2026,Email: care@navrang.com | Ph: 1800-713-5911,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-23 02:10:36,98%
LMC-01274,Roasted Almond Milk Bar 200 g,Chocolates & Confectionery,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",Not Declared,Rs. 889.00 (Incl. of all taxes),05/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(c): Net quantity declaration absent; Rule 6(1)(e): Complete consumer care grievance contact details missing,2026-08-05 21:55:36,87%
LMC-01275,Darjeeling Whole Leaf Black Tea 750 g,Tea & Coffee,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",750 g,Rs. 89.00,08/2026,Email: care@navrang.com | Ph: 1800-451-7247,India,NON-COMPLIANT,Rule 6(1)(da): Maximum Retail Price (MRP) declaration absent; Rule 6(1)(da): Missing 'Inclusive of all taxes' declaration with MRP,2026-07-15 19:17:36,96%
LMC-01276,Green Tea Lemon Honey Bags 250 g,Tea & Coffee,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",250 g,Rs. 761.00 (Incl. of all taxes),02/2026,Email: care@navrang.com | Ph: 1800-442-4493,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-30 00:53:36,88%
LMC-01277,Instant Chicory Coffee Powder 400 g,Tea & Coffee,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",400 g,Rs. 654.00 (Incl. of all taxes),05/2026,Email: care@surya.com | Ph: 1800-769-1000,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-21 13:35:36,95%
LMC-01278,Ragi Millet Flour 10 kg,Atta & Flours,Not Declared,10 kg,Rs. 797.00 (Incl. of all taxes),08/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing; Rule 6(1)(a): Manufacturer/packer declaration entirely missing,2026-08-20 23:07:36,84%
LMC-01279,Kashmiri Degi Mirch Powder 100 g,Spices & Condiments,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",Not Declared,Rs. 147.00,01/2026,Email: care@navrang.com | Ph: 1800-339-9549,India,NON-COMPLIANT,Rule 6(1)(c): Net quantity declaration absent; Rule 6(1)(da): Missing 'Inclusive of all taxes' declaration with MRP,2026-08-24 00:27:36,82%
LMC-01280,Instant Chicory Coffee Powder 50 g,Tea & Coffee,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",50 g,Rs. 617.00 (Incl. of all taxes),03/2026,Email: care@surya.com | Ph: 1800-611-1150,India,NEEDS REVIEW,Rule 6(1)(c): Non-standard unit abbreviation used ('ML' / 'ltr' instead of 'ml' / 'L'),2026-07-16 15:23:36,81%
LMC-01281,Chakki Fresh Pure Atta 2 kg,Atta & Flours,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",2 kg,Rs. 294.00 (Incl. of all taxes),01/2026,Email: care@ananya.com | Ph: 1800-278-4498,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-05 05:00:36,90%
LMC-01282,Marie Crisp Tea Biscuits 250 g,Biscuits & Cookies,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",Not Declared,Rs. 904.00 (Incl. of all taxes),07/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(c): Net quantity declaration absent; Rule 6(1)(e): Complete consumer care grievance contact details missing,2026-08-24 15:48:36,95%
LMC-01283,Bourbon Chocolate Cream Biscuits 400 g,Biscuits & Cookies,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",400 g,Rs. 262.00 (Incl. of all taxes),05/2026,Email: care@navrang.com | Ph: 1800-525-8656,India,NEEDS REVIEW,Rule 6(1)(c): Non-standard unit abbreviation used ('ML' / 'ltr' instead of 'ml' / 'L'),2026-07-07 15:53:36,78%
LMC-01284,Masala Potato Wafers 50 g,Snacks & Namkeen,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",50 g,Rs. 800.00 (Incl. of all taxes),06/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing,2026-08-22 19:31:36,76%
LMC-01285,Marie Crisp Tea Biscuits 250 g,Biscuits & Cookies,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",250 g,Rs. 656.00 (Incl. of all taxes),06/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing,2026-08-11 10:13:36,77%
LMC-01286,Mixed Fruit Orchard Blend 5 L,Beverages & Juices,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",5 L,Rs. 55.00 (Incl. of all taxes),06/2026,Email: care@kaveri.com | Ph: 1800-827-6819,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-04 00:19:36,90%
LMC-01287,Premium Assam CTC Tea 50 g,Tea & Coffee,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",50 g,Rs. 929.00 (Incl. of all taxes),03/2026,Email: care@navrang.com | Ph: 1800-548-7898,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-03 20:28:36,97%
LMC-01288,Greek Style Plain Yogurt 250 g,Dairy Products,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",250 g,Rs. 399.00,05/2026,Email: care@ananya.com | Ph: 1800-560-6813,India,NON-COMPLIANT,Rule 6(1)(da): Missing 'Inclusive of all taxes' declaration with MRP,2026-08-01 02:10:36,79%
LMC-01289,Lemon Iced Tea Concentrate 750 ml,Beverages & Juices,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",750 ml,Rs. 477.00 (Incl. of all taxes),06/2026,Email: care@himalayan.com | Ph: 1800-715-7352,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-22 14:09:36,90%
LMC-01290,Fruit Jelly Chews Pouch 200 g,Chocolates & Confectionery,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",200 g,Rs. 377.00 (Incl. of all taxes),03/2026,Email: care@vedic.com | Ph: 1800-744-2186,Not Declared,NON-COMPLIANT,Rule 6(1)(n): Missing Country of Origin declaration,2026-08-13 07:42:36,85%
LMC-01291,Tender Coconut Water Drink 250 ml,Beverages & Juices,"Godavari Mills & Refineries, Sy. No. 340, Autonagar, Guntur, Andhra Pradesh - 522001",250 ml,Rs. 229.00 (Incl. of all taxes),05/2026,Email: care@godavari.com | Ph: 1800-553-9228,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-29 04:48:36,96%
LMC-01292,Diet Murmura Mix 250 g,Snacks & Namkeen,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",250 gms,Rs. 265.00 (Incl. of all taxes),07/2026,Helpline: 1800-625-4491 (Email missing),India,NEEDS REVIEW,Rule 6(1)(e): Missing consumer care email address; Rule 6(1)(c): Non-standard unit abbreviation used ('gms' / 'gm' instead of standard 'g'),2026-07-07 03:33:36,74%
LMC-01293,Pure Sesame Gingelly Oil 1 L,Edible Oils,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",1 L,Not Declared,01/2026,Email: care@pristine.com | Ph: 1800-330-3225,India,NON-COMPLIANT,Rule 6(1)(da): Maximum Retail Price (MRP) declaration absent,2026-07-16 05:28:36,75%
LMC-01294,Cold Pressed Mustard Oil 5 L,Edible Oils,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",5 L,Rs. 496.00 (Incl. of all taxes),06/2026,Email: care@navrang.com | Ph: 1800-277-3464,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-13 03:17:36,96%
LMC-01295,Sharbati Whole Wheat Atta 2 kg,Atta & Flours,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",2 kg,Rs. 647.00 (Incl. of all taxes),05/2026,Email: care@navrang.com | Ph: 1800-763-7213,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-15 03:30:36,90%
LMC-01296,Pure Sesame Gingelly Oil 500 ml,Edible Oils,"Vedic Agro Industries Pvt Ltd, Pune",500 ml,Rs. 592.00 (Incl. of all taxes),03/2026,Email: care@vedic.com | Ph: 1800-125-7990,India,NEEDS REVIEW,Rule 6(1)(a): Physical address of manufacturer incomplete (missing PIN code/city),2026-07-29 18:32:36,82%
LMC-01297,Mint Peppermint Lozenges 500 g,Chocolates & Confectionery,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",500 g,Rs. 121.00 (Incl. of all taxes),07/2026,Email: care@himalayan.com | Ph: 1800-452-6344,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-09-02 08:30:36,97%
LMC-01298,Mint Peppermint Lozenges 750 g,Chocolates & Confectionery,"Surya Packaged Commodities LLP, Bhopal",750 gms,Rs. 589.00 (Incl. of all taxes),01/2026,Email: care@surya.com | Ph: 1800-703-6850,India,NEEDS REVIEW,Rule 6(1)(c): Non-standard unit abbreviation used ('gms' / 'gm' instead of standard 'g'); Rule 6(1)(a): Physical address of manufacturer incomplete (missing PIN code/city),2026-08-11 14:37:36,66%
LMC-01299,Refined Sunflower Cooking Oil 200 ml,Edible Oils,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",200 ml,Rs. 746.00 (Incl. of all taxes),08/2026,Email: care@pristine.com | Ph: 1800-408-2398,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-14 20:54:36,93%
LMC-01300,Salted Table Butter 750 g,Dairy Products,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",750 g,Rs. 607.00 (Incl. of all taxes),02/2026,Email: care@navrang.com | Ph: 1800-663-5428,India,NEEDS REVIEW,Rule 7: Font size / unit symbol ambiguous or truncated under OCR,2026-07-24 10:42:36,68%
LMC-01301,Maida Refined Wheat Flour 1 kg,Atta & Flours,"Vedic Agro Industries Pvt Ltd, Pune",1 kgs,Rs. 893.00 (Incl. of all taxes),05/2026,Email: care@vedic.com | Ph: 1800-150-6372,India,NEEDS REVIEW,Rule 6(1)(c): Non-standard unit abbreviation used ('gms' / 'gm' instead of standard 'g'); Rule 6(1)(a): Physical address of manufacturer incomplete (missing PIN code/city),2026-08-05 00:45:36,81%
LMC-01302,Rice Flour Fine 2 kg,Atta & Flours,"Godavari Mills & Refineries, Sy. No. 340, Autonagar, Guntur, Andhra Pradesh - 522001",2 kg,Rs. 514.00 (Incl. of all taxes),06/2026,Email: care@godavari.com | Ph: 1800-996-8791,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-09 15:02:36,91%
LMC-01303,Masala Potato Wafers 200 g,Snacks & Namkeen,"Himalayan Organic Ventures, Pantnagar",200 gms,Rs. 749.00 (Incl. of all taxes),02/2026,Email: care@himalayan.com | Ph: 1800-948-4957,India,NEEDS REVIEW,Rule 6(1)(c): Non-standard unit abbreviation used ('gms' / 'gm' instead of standard 'g'); Rule 6(1)(a): Physical address of manufacturer incomplete (missing PIN code/city),2026-08-04 03:23:36,80%
LMC-01304,Royal Garam Masala Blend 200 g,Spices & Condiments,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",200 g,Rs. 493.00 (Incl. of all taxes),02/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing,2026-08-03 18:20:36,95%
LMC-01305,Pure Malai Paneer 100 g,Dairy Products,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",100 g,Rs. 664.00 (Incl. of all taxes),05/2026,Email: care@pristine.com | Ph: 1800-202-2807,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-22 13:08:36,99%
LMC-01306,Standardized Tonned Milk 200 g,Dairy Products,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",200 g,Rs. 762.00 (Incl. of all taxes),02/2026,Email: care@surya.com | Ph: 1800-812-9463,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-19 19:02:36,93%
LMC-01307,Salted Table Butter 250 g,Dairy Products,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",250 g,Rs. 730.00 (Incl. of all taxes),01/2026,Not Declared,India,NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing,2026-08-05 11:15:36,86%
LMC-01308,Multigrain Fibre Atta 2 kg,Atta & Flours,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",2 kg,Not Declared,07/2026,Email: care@ananya.com | Ph: 1800-991-3072,India,NON-COMPLIANT,Rule 6(1)(da): Maximum Retail Price (MRP) declaration absent,2026-07-09 15:20:36,89%
LMC-01309,Kashmiri Degi Mirch Powder 250 g,Spices & Condiments,"Godavari Mills & Refineries, Sy. No. 340, Autonagar, Guntur, Andhra Pradesh - 522001",250 g,Rs. 269.00 (Incl. of all taxes),01/2026,Email: care@godavari.com | Ph: 1800-970-1007,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-12 20:59:36,88%
LMC-01310,Mixed Fruit Orchard Blend 1 L,Beverages & Juices,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",1 L,Rs. 907.00 (Incl. of all taxes),03/2026,Email: care@ananya.com | Ph: 1800-563-4266,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-11 16:10:36,99%
LMC-01311,Salted Crackers 400 g,Biscuits & Cookies,"Navrang Agro Commodities Corp, Ahmedabad",400 g,Rs. 947.00 (Incl. of all taxes),03/2026,Helpline: 1800-816-4248 (Email missing),India,NEEDS REVIEW,Rule 6(1)(e): Missing consumer care email address; Rule 6(1)(a): Physical address of manufacturer incomplete (missing PIN code/city),2026-08-15 10:26:36,74%
LMC-01312,Rice Flour Fine 1 kg,Atta & Flours,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",Not Declared,Not Declared,02/2026,Email: care@kaveri.com | Ph: 1800-419-9687,India,NON-COMPLIANT,Rule 6(1)(da): Maximum Retail Price (MRP) declaration absent; Rule 6(1)(c): Net quantity declaration absent,2026-07-06 04:18:36,90%
LMC-01313,Alphonso Mango Nectar 1 L,Beverages & Juices,Not Declared,1 L,Rs. 386.00 (Incl. of all taxes),Not Declared,Email: care@kaveri.com | Ph: 1800-511-1823,India,NON-COMPLIANT,Rule 6(1)(a): Manufacturer/packer declaration entirely missing; Rule 6(1)(d): Month and year of manufacture/packing missing,2026-07-27 14:24:36,89%
LMC-01314,Refined Groundnut Oil 2 L,Edible Oils,Not Declared,2 L,Rs. 417.00 (Incl. of all taxes),01/2026,Email: care@ananya.com | Ph: 1800-915-1024,India,NON-COMPLIANT,Rule 6(1)(a): Manufacturer/packer declaration entirely missing,2026-08-18 15:59:36,76%
LMC-01315,Almond Cashew Shortbread 100 g,Biscuits & Cookies,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",100 g,Rs. 248.00 (Incl. of all taxes),07/2026,Not Declared,Not Declared,NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing; Rule 6(1)(n): Missing Country of Origin declaration,2026-08-24 06:25:36,85%
LMC-01316,Salted Crackers 750 g,Biscuits & Cookies,"Godavari Mills & Refineries, Sy. No. 340, Autonagar, Guntur, Andhra Pradesh - 522001",750 g,Rs. 700.00 (Incl. of all taxes),03/2026,Email: care@godavari.com | Ph: 1800-417-7918,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-17 23:27:36,99%
LMC-01317,Roasted Almond Milk Bar 500 g,Chocolates & Confectionery,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",500 g,Rs. 455.00 (Incl. of all taxes),02/2026,Helpline: 1800-499-5325 (Email missing),India,NEEDS REVIEW,Rule 6(1)(e): Missing consumer care email address; Rule 7: Font size / unit symbol ambiguous or truncated under OCR,2026-08-30 18:50:36,62%
LMC-01318,Roasted Almond Milk Bar 200 g,Chocolates & Confectionery,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",200 g,Rs. 673.00 (Incl. of all taxes),04/2026,Email: care@pristine.com | Ph: 1800-781-4856,Not Declared,NON-COMPLIANT,Rule 6(1)(n): Missing Country of Origin declaration,2026-07-06 04:54:36,82%
LMC-01319,Kashmiri Degi Mirch Powder 250 g,Spices & Condiments,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",250 g,Rs. 31.00 (Incl. of all taxes),06/2026,Email: care@ananya.com | Ph: 1800-670-1474,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-19 21:49:36,92%
LMC-01320,Green Tea Lemon Honey Bags 250 g,Tea & Coffee,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",250 g,Rs. 691.00 (Incl. of all taxes),03/2026,Email: care@vedic.com | Ph: 1800-254-4822,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-05 14:06:36,97%
LMC-01321,Gulab Jamun Instant Mix 250 g,Ready-to-Eat,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",250 g,Rs. 147.00 (Incl. of all taxes),07/2026,Email: care@surya.com | Ph: 1800-388-3683,Not Declared,NON-COMPLIANT,Rule 6(1)(n): Missing Country of Origin declaration,2026-07-05 23:04:36,83%
LMC-01322,Blended Edible Vegetable Oil 200 ml,Edible Oils,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",200 ml,Rs. 917.00 (Incl. of all taxes),06/2026,Email: care@ananya.com | Ph: 1800-608-1247,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-29 20:53:36,95%
LMC-01323,Instant Masala Noodles 750 g,Ready-to-Eat,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",750 g,Rs. 525.00 (Incl. of all taxes),07/2026,Email: care@kaveri.com | Ph: 1800-459-8742,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-18 18:35:36,91%
LMC-01324,Khatta Meetha Mixture 200 g,Snacks & Namkeen,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",200 g,Rs. 916.00 (Incl. of all taxes),06/2026,Not Declared,Imported (Origin: Sri Lanka),NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing,2026-09-01 15:01:36,95%
LMC-01325,Dark Silk Chocolate Bar 100 g,Chocolates & Confectionery,Not Declared,Not Declared,Rs. 869.00 (Incl. of all taxes),06/2026,Email: care@ananya.com | Ph: 1800-970-4458,India,NON-COMPLIANT,Rule 6(1)(c): Net quantity declaration absent; Rule 6(1)(a): Manufacturer/packer declaration entirely missing,2026-08-03 01:23:36,85%
LMC-01326,Premium Assam CTC Tea 750 g,Tea & Coffee,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",750 g,Rs. 27.00 (Incl. of all taxes),02/2026,Email: care@ananya.com | Ph: 1800-317-2411,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-07 20:25:36,88%
LMC-01327,Crunchy Moong Dal Namkeen 250 g,Snacks & Namkeen,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",250 g,Rs. 447.00 (Incl. of all taxes),03/2026,Email: care@kaveri.com | Ph: 1800-996-1217,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-13 01:21:36,99%
LMC-01328,Pure Sesame Gingelly Oil 200 ml,Edible Oils,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",200 ml,Rs. 466.00 (Incl. of all taxes),06/2026,Email: care@pristine.com | Ph: 1800-645-7961,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-24 16:20:36,97%
LMC-01329,Pure Sesame Gingelly Oil 750 ml,Edible Oils,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",750 ml,Rs. 639.00 (Incl. of all taxes),04/2026,Email: care@navrang.com | Ph: 1800-111-3987,India,NEEDS REVIEW,Rule 7: Font size / unit symbol ambiguous or truncated under OCR; Rule 6(1)(c): Non-standard unit abbreviation used ('gms' / 'gm' instead of standard 'g'),2026-08-09 15:05:36,60%
LMC-01330,Kashmiri Degi Mirch Powder 750 g,Spices & Condiments,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",750 g,Rs. 565.00 (Incl. of all taxes),03/2026,Email: care@kaveri.com | Ph: 1800-497-3524,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-16 02:23:36,95%
LMC-01331,Blended Edible Vegetable Oil 100 ml,Edible Oils,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",100 ml,Not Declared,Not Declared,Email: care@kaveri.com | Ph: 1800-309-9408,India,NON-COMPLIANT,Rule 6(1)(d): Month and year of manufacture/packing missing; Rule 6(1)(da): Maximum Retail Price (MRP) declaration absent,2026-08-11 04:44:36,95%
LMC-01332,Caramel Toffee Pouch 50 g,Chocolates & Confectionery,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",50 g,Rs. 638.00 (Incl. of all taxes),07/2026,Email: care@surya.com | Ph: 1800-945-1535,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-03 22:06:36,91%
LMC-01333,Rice Flour Fine 10 kg,Atta & Flours,"Kaveri Spices & Naturals, 14/B, Spice Park, Puttady, Idukki, Kerala - 685551",10 kg,Not Declared,05/2026,Email: care@kaveri.com | Ph: 1800-942-2896,Not Declared,NON-COMPLIANT,Rule 6(1)(da): Maximum Retail Price (MRP) declaration absent; Rule 6(1)(n): Missing Country of Origin declaration,2026-08-04 23:07:36,78%
LMC-01334,Bourbon Chocolate Cream Biscuits 50 g,Biscuits & Cookies,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",50 g,Rs. 574.00 (Incl. of all taxes),06/2026,Email: care@pristine.com | Ph: 1800-354-4874,Not Declared,NON-COMPLIANT,Rule 6(1)(n): Missing Country of Origin declaration,2026-08-07 08:50:36,75%
LMC-01335,Dark Silk Chocolate Bar 50 g,Chocolates & Confectionery,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",50 g,Not Declared,06/2026,Email: care@ananya.com | Ph: 1800-232-5970,Imported (Origin: Sri Lanka),NON-COMPLIANT,Rule 6(1)(da): Maximum Retail Price (MRP) declaration absent,2026-07-19 15:58:36,88%
LMC-01336,Alphonso Mango Nectar 5 L,Beverages & Juices,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",5 L,Rs. 305.00 (Incl. of all taxes),06/2026,Email: care@pristine.com | Ph: 1800-296-5345,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-06 00:38:36,90%
LMC-01337,Dark Silk Chocolate Bar 200 g,Chocolates & Confectionery,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",200 g,Rs. 692.00 (Incl. of all taxes),03/2026,Email: care@surya.com | Ph: 1800-586-4677,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-16 09:13:36,95%
LMC-01338,Roasted Salted Makhana 50 g,Snacks & Namkeen,"Surya Packaged Commodities LLP, Industrial Growth Centre, Mandideep, Bhopal, MP - 462046",50 g,Rs. 656.00 (Incl. of all taxes),04/2026,Email: care@surya.com | Ph: 1800-720-4104,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-29 16:57:36,91%
LMC-01339,Chakki Fresh Pure Atta 10 kg,Atta & Flours,Not Declared,10 kg,Rs. 748.00 (Incl. of all taxes),08/2026,Email: care@pristine.com | Ph: 1800-192-6881,India,NON-COMPLIANT,Rule 6(1)(a): Manufacturer/packer declaration entirely missing,2026-08-29 03:09:36,81%
LMC-01340,Sharbati Whole Wheat Atta 10 kg,Atta & Flours,"Himalayan Organic Ventures, SIDCUL Industrial Estate, Pantnagar, Uttarakhand - 263153",10 kg,Rs. 583.00 (Incl. of all taxes),03/2026,Email: care@himalayan.com | Ph: 1800-969-5068,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-14 06:18:36,96%
LMC-01341,Digestive High Fibre Biscuits 500 g,Biscuits & Cookies,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",500 g,Rs. 643.00 (Incl. of all taxes),03/2026,Email: care@pristine.com | Ph: 1800-203-2739,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-19 08:33:36,90%
LMC-01342,Mint Peppermint Lozenges 750 g,Chocolates & Confectionery,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",750 g,Rs. 51.00 (Incl. of all taxes),02/2026,Not Declared,Not Declared,NON-COMPLIANT,Rule 6(1)(e): Complete consumer care grievance contact details missing; Rule 6(1)(n): Missing Country of Origin declaration,2026-08-10 17:05:36,96%
LMC-01343,Salted Table Butter 400 g,Dairy Products,"Ananya Consumer Goods Ltd, Plot 42, Sector 8, IMT Manesar, Gurugram, Haryana - 122050",400 g,Rs. 946.00 (Incl. of all taxes),05/2026,Email: care@ananya.com | Ph: 1800-478-7117,Not Declared,NON-COMPLIANT,Rule 6(1)(n): Missing Country of Origin declaration,2026-08-30 16:53:36,91%
LMC-01344,Almond Cashew Shortbread 100 g,Biscuits & Cookies,"Navrang Agro Commodities Corp, GIDC Naroda, Ahmedabad, Gujarat - 382330",100 g,Rs. 635.00 (Incl. of all taxes),05/2026,Email: care@navrang.com | Ph: 1800-931-4113,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-07-11 02:19:36,99%
LMC-01345,Roasted Salted Makhana 500 g,Snacks & Namkeen,"Pristine Foods & Agro Ltd, Phase 2, Peenya Industrial Area, Bengaluru, Karnataka - 560058",500 g,Rs. 656.00 (Incl. of all taxes),03/2026,Email: care@pristine.com | Ph: 1800-206-4253,India,COMPLIANT,None (Fully Compliant with Rule 6),2026-08-08 18:40:36,99%
LMC-01346,Cold Pressed Mustard Oil 250 ml,Edible Oils,"Vedic Agro Industries Pvt Ltd, Gat No. 118, Urse, Talegaon MIDC, Pune, Maharashtra - 410506",250 ml,Rs. 57.00 (Incl. of all taxes),03/2026,Email: care@vedic.com | Ph: 1800-140-7630,Imported (Origin: Sri Lanka),COMPLIANT,None (Fully Compliant with Rule 6),2026-07-28 05:23:36,99%
